Incoming Examinations,Year,Month
362,2006,1
436,2006,2
421,2006,3
490,2006,4
508,2006,5
375,2006,6
393,2006,7
596,2006,8
634,2006,9
613,2006,10
545,2006,11
411,2006,12
398,2007,1
311,2007,2
664,2007,3
680,2007,4
839,2007,5
467,2007,6
566,2007,7
806,2007,8
732,2007,9
886,2007,10
776,2007,11
698,2007,12
875,2008,1
840,2008,2
724,2008,3
1115,2008,4
997,2008,5
775,2008,6
886,2008,7
1041,2008,8
1011,2008,9
1090,2008,10
939,2008,11
960,2008,12
1004,2009,1
1065,2009,2
1263,2009,3
962,2009,4
1370,2009,5
1429,2009,6
1205,2009,7
890,2009,8
1320,2009,9
1276,2009,10
1757,2009,11
1462,2009,12
1829,2010,1
1838,2010,2
1578,2010,3
1604,2010,4
1758,2010,5
1599,2010,6
1457,2010,7
1607,2010,8
1808,2010,9
1866,2010,10
1934,2010,11
2294,2010,12
2196,2011,1
2334,2011,2
1973,2011,3
2262,2011,4
2259,2011,5
2217,2011,6
2739,2011,7
2772,2011,8
3383,2011,9
2869,2011,10
2239,2011,11
2880,2011,12
2789,2012,1
3455,2012,2
2940,2012,3
2968,2012,4
3466,2012,5
3037,2012,6
3946,2012,7
3459,2012,8
3446,2012,9
3258,2012,10
4729,2012,11
3694,2012,12
4610,2013,1
4841,2013,2
5172,2013,3
4351,2013,4
5462,2013,5
4791,2013,6
5025,2013,7
4978,2013,8
5008,2013,9
6094,2013,10
4874,2013,11
5933,2013,12
